TS,T,C,O,H,L,V
964717200,2000-07-28,100,100,100,100,4200
964976400,2000-07-31,101.55,101.55,101.55,101.55,10300
965149200,2000-08-02,103.38,103.38,103.38,103.38,300
965322000,2000-08-04,105.2,105.2,105.2,105.2,3800
965581200,2000-08-07,106.92,106.92,106.92,106.92,13200
965754000,2000-08-09,108.64,108.64,108.64,108.64,15930
965926800,2000-08-11,110.36,110.36,110.36,110.36,13600
966186000,2000-08-14,112.08,112.08,112.08,112.08,11700
966358800,2000-08-16,113.8,113.8,113.8,113.8,23000
966531600,2000-08-18,115.52,115.52,115.52,115.52,10400
966790800,2000-08-21,117.24,117.24,117.24,117.24,35500
966963600,2000-08-23,118.96,118.96,118.96,118.96,111400
967136400,2000-08-25,118.84,118.84,118.84,118.84,95220
967395600,2000-08-28,117,117,117,117,97920
967568400,2000-08-30,115.15,115.15,115.15,115.15,126510
967741200,2000-09-01,113.37,113.37,113.37,113.37,96600
968173200,2000-09-06,112.51,112.51,112.51,112.51,60900
968346000,2000-09-08,112.39,112.39,112.39,112.39,49500
968605200,2000-09-11,114.11,114.11,114.11,114.11,31300
968778000,2000-09-13,116.08,116.08,116.08,116.08,18400
968950800,2000-09-15,118.04,118.04,118.04,118.04,45900
969210000,2000-09-18,118.19,118.19,118.19,118.19,64600
969382800,2000-09-20,118.21,118.21,118.21,118.21,41600
969555600,2000-09-22,118.76,118.76,118.76,118.76,66900
969814800,2000-09-25,118.98,118.98,118.98,118.98,56600
969987600,2000-09-27,119.69,119.69,119.69,119.69,56610
970160400,2000-09-29,120.71,120.71,120.71,120.71,52800
970419600,2000-10-02,120.92,120.92,120.92,120.92,48600
970592400,2000-10-04,121.14,121.14,121.14,121.14,58400
970765200,2000-10-06,122.21,122.21,122.21,122.21,39600
971024400,2000-10-09,124.33,124.33,124.33,124.33,25900
971197200,2000-10-11,126.45,126.45,126.45,126.45,53300
971370000,2000-10-13,128.57,128.57,128.57,128.57,51900
971629200,2000-10-16,130.71,130.71,130.71,130.71,26600
971802000,2000-10-18,132.85,132.85,132.85,132.85,25700
971974800,2000-10-20,135.04,135.04,135.04,135.04,65900
972234000,2000-10-23,136.55,136.55,136.55,136.55,39100
972406800,2000-10-25,137.08,137.08,137.08,137.08,45000
972579600,2000-10-27,139.57,139.57,139.57,139.57,88200
972838800,2000-10-30,140.84,140.84,140.84,140.84,101200
973011600,2000-11-01,143.33,143.33,143.33,143.33,95900
973184400,2000-11-03,145.83,145.83,145.83,145.83,78800
973443600,2000-11-06,148.57,148.57,148.57,148.57,55300
973616400,2000-11-08,151.32,151.32,151.32,151.32,29200
973789200,2000-11-10,154.08,154.08,154.08,154.08,57300
974048400,2000-11-13,156.84,156.84,156.84,156.84,21700
974221200,2000-11-15,159.6,159.6,159.6,159.6,13400
974394000,2000-11-17,162.36,162.36,162.36,162.36,35350
974653200,2000-11-20,165.7,165.7,165.7,165.7,63910
974826000,2000-11-22,165.52,165.52,165.52,165.52,136700
974998800,2000-11-24,166.17,166.17,166.17,166.17,117420
975258000,2000-11-27,165.6,165.6,165.6,165.6,90400
975430800,2000-11-29,168.73,168.73,168.73,168.73,76800
975603600,2000-12-01,171.87,171.87,171.87,171.87,43300
975862800,2000-12-04,175,175,175,175,28500
976035600,2000-12-06,178.13,178.13,178.13,178.13,60200
976208400,2000-12-08,181.26,181.26,181.26,181.26,188420
976467600,2000-12-11,189.94,189.94,189.94,189.94,125400
976640400,2000-12-13,184.48,184.48,184.48,184.48,106000
976813200,2000-12-15,187.62,187.62,187.62,187.62,49300
977072400,2000-12-18,191.11,191.11,191.11,191.11,82200
977245200,2000-12-20,194.85,194.85,194.85,194.85,39400
977418000,2000-12-22,198.58,198.58,198.58,198.58,61300
977677200,2000-12-25,202.32,202.32,202.32,202.32,21100
977850000,2000-12-27,203.09,203.09,203.09,203.09,41250
978022800,2000-12-29,206.83,206.83,206.83,206.83,60150
978454800,2001-01-03,210.56,210.56,210.56,210.56,43600
978627600,2001-01-05,214.32,214.32,214.32,214.32,50400
978886800,2001-01-08,218.12,218.12,218.12,218.12,71700
979059600,2001-01-10,222.15,222.15,222.15,222.15,184400
979232400,2001-01-12,225.67,225.67,225.67,225.67,224000
979491600,2001-01-15,228.35,228.35,228.35,228.35,123200
979664400,2001-01-17,232.68,232.68,232.68,232.68,88120
979837200,2001-01-19,236.97,236.97,236.97,236.97,42920
980701200,2001-01-29,241.36,241.36,241.36,241.36,9050
980874000,2001-01-31,245.8,245.8,245.8,245.8,6700
981046800,2001-02-02,250.23,250.23,250.23,250.23,24500
981306000,2001-02-05,254.96,254.96,254.96,254.96,2650
981478800,2001-02-07,259.93,259.93,259.93,259.93,8800
981651600,2001-02-09,260.15,260.15,260.15,260.15,315450
981910800,2001-02-12,256.18,256.18,256.18,256.18,130600
982083600,2001-02-14,252.21,252.21,252.21,252.21,78280
982256400,2001-02-16,248.98,248.98,248.98,248.98,43570
982515600,2001-02-19,245.99,245.99,245.99,245.99,34900
982688400,2001-02-21,246.75,246.75,246.75,246.75,240100
982861200,2001-02-23,251.22,251.22,251.22,251.22,155300
983120400,2001-02-26,255.61,255.61,255.61,255.61,97130
983293200,2001-02-28,252.4,252.4,252.4,252.4,293400
983466000,2001-03-02,253.64,253.64,253.64,253.64,207610
983725200,2001-03-05,250.73,250.73,250.73,250.73,165700
983898000,2001-03-07,248.05,248.05,248.05,248.05,202900
984070800,2001-03-09,252.61,252.61,252.61,252.61,118320
984330000,2001-03-12,255.99,255.99,255.99,255.99,122200
984502800,2001-03-14,257.7,257.7,257.7,257.7,143900
984675600,2001-03-16,258.52,258.52,258.52,258.52,102470
984934800,2001-03-19,260.29,260.29,260.29,260.29,179700
985107600,2001-03-21,261.11,261.11,261.11,261.11,83750
985280400,2001-03-23,259.6,259.6,259.6,259.6,134900
985539600,2001-03-26,260.11,260.11,260.11,260.11,76400
985712400,2001-03-28,264.7,264.7,264.7,264.7,88900
985885200,2001-03-30,269.3,269.3,269.3,269.3,44100
986144400,2001-04-02,274.43,274.43,274.43,274.43,139700
986317200,2001-04-04,279.56,279.56,279.56,279.56,56510
986490000,2001-04-06,284.69,284.69,284.69,284.69,32610
986749200,2001-04-09,289.82,289.82,289.82,289.82,146700
986922000,2001-04-11,295.09,295.09,295.09,295.09,98460
987094800,2001-04-13,300.36,300.36,300.36,300.36,67800
987354000,2001-04-16,306.16,306.16,306.16,306.16,43800
987526800,2001-04-18,311.96,311.96,311.96,311.96,61000
987699600,2001-04-20,317.76,317.76,317.76,317.76,123200
987958800,2001-04-23,313.74,313.74,313.74,313.74,321600
988131600,2001-04-25,315.27,315.27,315.27,315.27,417300
988304400,2001-04-27,321.07,321.07,321.07,321.07,49600
988736400,2001-05-02,327.13,327.13,327.13,327.13,43770
988909200,2001-05-04,332,332,332,332,115100
989168400,2001-05-07,338.35,338.35,338.35,338.35,64500
989341200,2001-05-09,344.47,344.47,344.47,344.47,160930
989514000,2001-05-11,351.06,351.06,351.06,351.06,25600
989773200,2001-05-14,357.65,357.65,357.65,357.65,60350
989946000,2001-05-16,364.27,364.27,364.27,364.27,25100
990118800,2001-05-18,370.9,370.9,370.9,370.9,56200
990378000,2001-05-21,377.43,377.43,377.43,377.43,52100
990550800,2001-05-23,384.16,384.16,384.16,384.16,230100
990723600,2001-05-25,390.88,390.88,390.88,390.88,83500
990982800,2001-05-28,397.5,397.5,397.5,397.5,131900
991155600,2001-05-30,404.26,404.26,404.26,404.26,14300
991328400,2001-06-01,411.03,411.03,411.03,411.03,16310
991587600,2001-06-04,417.79,417.79,417.79,417.79,21700
991760400,2001-06-06,424.56,424.56,424.56,424.56,24840
991933200,2001-06-08,426.58,426.58,426.58,426.58,193310
992192400,2001-06-11,428.02,428.02,428.02,428.02,425300
992365200,2001-06-13,456.18,456.18,456.18,456.18,122400
992538000,2001-06-15,486.34,486.34,486.34,486.34,73910
992797200,2001-06-18,518.62,518.62,518.62,518.62,210100
992970000,2001-06-20,553.56,553.56,553.56,553.56,141000
993142800,2001-06-22,563,563,563,563,544250
993402000,2001-06-25,571.04,571.04,571.04,571.04,268110
993574800,2001-06-27,531.93,531.93,531.93,531.93,79700
993747600,2001-06-29,500.28,500.28,500.28,500.28,119750
994006800,2001-07-02,491.17,491.17,491.17,491.17,181400
994179600,2001-07-04,512.8,512.8,512.8,512.8,268300
994352400,2001-07-06,502.93,502.93,502.93,502.93,223500
994611600,2001-07-09,470.83,470.83,470.83,470.83,109100
994784400,2001-07-11,436.13,436.13,436.13,436.13,93000
994957200,2001-07-13,416.46,416.46,416.46,416.46,169000
995216400,2001-07-16,411.43,411.43,411.43,411.43,122000
995389200,2001-07-18,438.12,438.12,438.12,438.12,99400
995562000,2001-07-20,466.67,466.67,466.67,466.67,75600
