t,c,o,h,l
2018-11-16 09:00:00,870.0,869.0,870.0,869.0
2018-11-16 09:05:00,869.0,869.0,869.0,869.0
2018-11-16 09:10:00,870.0,869.3,870.0,869.0
2018-11-16 09:15:00,871.0,870.0,871.0,870.0
2018-11-16 09:20:00,868.2,870.9,930.0,864.1
2018-11-16 09:25:00,872.0,870.0,872.0,870.0
2018-11-16 09:30:00,870.3,870.3,870.3,870.3
2018-11-16 09:35:00,869.9,869.9,869.9,869.9
2018-11-16 09:40:00,870.0,870.3,870.3,870.0
2018-11-16 09:45:00,869.5,869.9,869.9,869.5
2018-11-16 09:50:00,870.4,870.3,870.4,870.3
2018-11-16 09:55:00,870.4,870.5,870.5,870.4
2018-11-16 10:00:00,869.8,869.8,869.8,869.8
2018-11-16 10:05:00,869.5,870.0,870.0,869.5
2018-11-16 10:10:00,870.0,870.0,870.0,870.0
2018-11-16 10:15:00,869.4,869.4,869.4,869.4
2018-11-16 10:20:00,869.0,869.0,869.0,869.0
2018-11-16 10:25:00,869.0,869.0,869.0,868.7
2018-11-16 10:30:00,868.7,869.0,869.0,868.7
2018-11-16 10:35:00,869.3,868.5,869.5,868.5
2018-11-16 10:40:00,869.3,869.3,869.3,869.3
2018-11-16 10:45:00,868.3,868.5,868.5,868.3
2018-11-16 10:50:00,868.0,868.0,868.0,868.0
2018-11-16 10:55:00,869.0,868.7,869.4,868.7
2018-11-16 11:00:00,869.9,869.4,869.9,869.4
2018-11-16 11:05:00,870.0,870.0,870.0,870.0
2018-11-16 11:10:00,872.2,870.0,872.2,870.0
2018-11-16 11:15:00,871.1,872.4,872.4,871.1
2018-11-16 11:20:00,871.1,872.1,872.1,871.0
2018-11-16 11:25:00,871.1,871.1,871.1,871.1
2018-11-16 13:00:00,872.9,871.9,872.9,871.9
2018-11-16 13:05:00,872.6,872.6,872.6,872.3
2018-11-16 13:10:00,871.9,872.0,872.6,871.9
2018-11-16 13:15:00,871.0,871.0,871.0,871.0
2018-11-16 13:20:00,871.4,871.6,871.6,870.7
2018-11-16 13:25:00,871.8,870.9,871.8,870.9
2018-11-16 13:30:00,870.6,870.7,870.7,870.6
2018-11-16 13:35:00,872.1,871.8,872.1,871.8
2018-11-16 13:45:00,872.6,872.0,874.0,872.0
2018-11-16 13:50:00,872.0,872.5,873.0,872.0
2018-11-16 13:55:00,871.0,872.2,872.5,871.0
2018-11-16 14:00:00,870.5,868.9,870.6,868.9
2018-11-16 14:05:00,869.5,869.5,869.5,869.5
2018-11-16 14:10:00,869.5,869.5,869.5,869.0
2018-11-16 14:15:00,870.5,869.8,870.5,869.8
2018-11-16 14:20:00,871.0,870.5,871.0,870.0
2018-11-16 14:25:00,871.2,870.0,871.3,870.0
2018-11-16 14:45:00,871.0,871.0,871.0,871.0
2018-11-19 09:00:00,873.0,874.9,874.9,871.6
2018-11-19 09:05:00,873.0,873.0,873.3,873.0
2018-11-19 09:10:00,873.2,873.2,873.2,873.2
2018-11-19 09:15:00,874.0,874.0,874.0,874.0
2018-11-19 09:25:00,873.9,873.4,873.9,873.3
2018-11-19 09:30:00,873.3,873.3,873.3,873.3
2018-11-19 09:35:00,873.4,873.3,873.4,873.3
2018-11-19 09:40:00,873.2,873.5,873.5,873.2
2018-11-19 09:45:00,873.4,873.6,873.6,873.4
2018-11-19 09:50:00,873.7,873.7,873.7,873.7
2018-11-19 10:00:00,872.9,872.9,872.9,872.9
2018-11-19 10:05:00,873.8,873.7,873.8,873.7
2018-11-19 10:10:00,873.4,874.0,874.0,873.4
2018-11-19 10:20:00,873.2,873.4,873.4,873.2
2018-11-19 10:30:00,874.0,873.8,874.0,873.8
2018-11-19 10:35:00,873.2,873.2,873.2,873.2
2018-11-19 10:40:00,872.9,873.2,873.2,872.9
2018-11-19 10:45:00,872.9,872.9,872.9,872.9
2018-11-19 10:50:00,872.9,872.9,872.9,872.9
2018-11-19 10:55:00,873.6,873.6,873.6,873.6
2018-11-19 11:00:00,874.5,873.6,874.5,873.6
2018-11-19 11:05:00,874.1,874.5,874.5,874.1
2018-11-19 11:10:00,874.0,874.0,874.1,874.0
2018-11-19 11:15:00,874.0,874.0,874.0,874.0
2018-11-19 11:20:00,875.0,874.8,875.0,874.8
2018-11-19 11:25:00,874.8,875.5,875.5,874.5
2018-11-19 11:30:00,875.4,875.4,875.4,875.4
2018-11-19 13:00:00,874.3,874.8,874.8,874.2
2018-11-19 13:05:00,874.6,874.3,874.6,874.3
2018-11-19 13:10:00,874.8,874.1,874.8,874.1
2018-11-19 13:15:00,875.0,874.8,875.0,874.8
2018-11-19 13:20:00,875.6,875.5,875.6,875.5
2018-11-19 13:25:00,876.0,875.7,876.0,875.7
2018-11-19 13:30:00,875.5,875.6,875.6,875.5
2018-11-19 13:35:00,875.2,875.5,875.5,875.1
2018-11-19 13:40:00,875.3,875.2,875.3,875.2
2018-11-19 13:45:00,875.5,875.1,875.5,875.1
2018-11-19 13:50:00,876.3,875.9,876.3,875.9
2018-11-19 13:55:00,875.3,875.4,876.0,875.3
2018-11-19 14:00:00,874.0,875.2,875.2,874.0
2018-11-19 14:10:00,876.0,876.0,876.2,876.0
2018-11-19 14:15:00,878.0,876.4,878.0,876.4
2018-11-19 14:20:00,878.5,878.0,878.5,877.0
2018-11-19 14:25:00,879.8,878.5,879.8,878.5
2018-11-19 14:30:00,879.9,879.9,879.9,879.9
2018-11-19 14:45:00,880.0,880.0,880.0,880.0
2018-11-20 09:00:00,877.2,878.0,878.0,877.0
